group_key,epoch,reward_mean,macro_bucket_acc,weighted_bucket_acc,alignment_l1,min_alpha_bucket_acc,strict_min_alpha_bucket_acc,target_in_topk_rate,alpha_gap_mean,top_true_bucket,top_pred_bucket,top_acc_bucket
train_alpha_h200.pbs.o168218529,1,-17.8889,0.08950000000000001,0.14257045000000002,1.1702000000000001,0.1613,0.1426,0.9162,1.5806,0,0,0
train_alpha_h200.pbs.o168218529,2,-17.6908,0.0898,0.16056714000000002,1.1271,0.1816,0.1606,0.9162,1.5043,0,0,0
train_alpha_h200.pbs.o168218529,3,-17.5956,0.08920909090909092,0.16904928000000002,1.1034000000000002,0.1914,0.169,0.9162,1.4676,0,0,0
train_alpha_h200.pbs.o168218529,4,-17.4714,0.08940000000000001,0.17418080000000002,1.0923,0.1959,0.1742,0.9162,1.4166,0,0,0
train_alpha_h200.pbs.o168218529,5,-17.3931,0.0887090909090909,0.17880216000000002,1.0721,0.2006,0.1788,0.9162,1.3806,0,0,0
train_alpha_h200.pbs.o168218529,6,-17.3004,0.08881818181818181,0.18113410000000002,1.0651,0.2021,0.1812,0.9162,1.3433,0,0,0
train_alpha_h200.pbs.o168218529,7,-17.1342,0.08906363636363636,0.19345083,1.0319,0.2144,0.1935,0.9162,1.2686,0,0,0
train_alpha_h200.pbs.o168218529,8,-17.0654,0.09006363636363636,0.20369601000000004,1.0103,0.2247,0.2037,0.9162,1.2254,0,0,0
train_alpha_h200.pbs.o168218529,9,-17.0581,0.08987272727272727,0.20402165,1.0093,0.2251,0.204,0.9162,1.2231,0,0,0
train_alpha_h200.pbs.o168218529,10,-17.0622,0.0901090909090909,0.20565360000000002,1.0073,0.227,0.2057,0.9162,1.2247,0,0,0
train_alpha_h200.pbs.o168218529,11,-17.0513,0.09002727272727273,0.20532116000000003,1.0054,0.2267,0.2053,0.9162,1.2243,0,0,0
train_alpha_h200.pbs.o168218529,12,-17.0611,0.09014545454545454,0.20586426000000002,1.0064,0.2275,0.2058,0.9162,1.2297,0,0,0
train_alpha_h200.pbs.o168218529,13,-17.0737,0.08998181818181818,0.20585301,1.006,0.2278,0.2059,0.9162,1.2353,0,0,0
