group_key,bucket_id,epochs,acc_mean,acc_std,acc_min,acc_max,acc_last,acc_best,acc_best_epoch,acc_within_epoch_std_mean,acc_trend_slope,true_rate_mean,true_rate_std,true_rate_min,true_rate_max,true_rate_last,true_rate_within_epoch_std_mean,true_rate_trend_slope,pred_rate_mean,pred_rate_std,pred_rate_min,pred_rate_max,pred_rate_last,pred_rate_within_epoch_std_mean,pred_rate_trend_slope,gap_mean,gap_abs_mean,gap_last,gap_trend_slope
train_alpha_h200.pbs.o168218529,0,94,0.2607032258064516,0.01731652484203818,0.164,0.2689,0.2673,0.2689,56,0.012335483870967742,0.000376051147384441,0.7234,0.0,0.7234,0.7234,0.7234,0.006579569892473118,0.0,0.2647043010752688,0.01700032835848915,0.1691,0.2736,0.2706,0.012404301075268817,0.0003719912864432573,-0.4586956989247312,0.4586956989247312,-0.45280000000000004,0.00037199128644325725
train_alpha_h200.pbs.o168218529,1,94,0.1132,0.00630759910359028,0.1064,0.1328,0.1067,0.1328,3,0.010259139784946235,-0.00021407895914774255,0.0678,0.0,0.0678,0.0678,0.0678,0.002478494623655914,0.0,0.12177096774193548,0.005288140121554646,0.1159,0.1389,0.1165,0.003660215053763441,-0.0001765494912118409,0.05397096774193549,0.05397096774193549,0.04870000000000001,-0.0001765494912118409
train_alpha_h200.pbs.o168218529,2,94,0.10523763440860216,0.004980411391620555,0.1017,0.132,0.1018,0.132,1,0.013027956989247313,-0.00010436125451344333,0.0373,0.0,0.0373,0.0373,0.0373,0.0017838709677419353,0.0,0.10103118279569892,0.004377876406067304,0.0976,0.123,0.0981,0.0027376344086021505,-9.763808898570618e-05,0.06373118279569892,0.06373118279569892,0.06080000000000001,-9.763808898570618e-05
train_alpha_h200.pbs.o168218529,3,94,0.08461397849462365,0.0020830391051336545,0.0816,0.0887,0.0825,0.0887,28,0.01432258064516129,-5.979379905105788e-05,0.0242,0.0,0.0242,0.0242,0.0242,0.0014000000000000002,0.0,0.0850505376344086,0.0015582333293825753,0.0829,0.0889,0.0835,0.0022344086021505376,-4.888096445943122e-05,0.0608505376344086,0.0608505376344086,0.059300000000000005,-4.888096445943122e-05
train_alpha_h200.pbs.o168218529,4,94,0.07320645161290323,0.0007898286804319539,0.0706,0.075,0.0736,0.075,1,0.01599032258064516,6.684372295664103e-06,0.0174,0.0,0.0174,0.0174,0.0174,0.0011903225806451612,0.0,0.07100860215053763,0.0004950629185555202,0.0695,0.0724,0.0704,0.0024795698924731185,6.311360448807797e-07,0.05360860215053763,0.05360860215053763,0.053000000000000005,6.311360448807797e-07
train_alpha_h200.pbs.o168218529,5,94,0.053549462365591396,0.0013039743760192657,0.0513,0.0594,0.0542,0.0594,1,0.016218279569892472,-6.863417982155102e-06,0.012902150537634409,1.4506169422830064e-05,0.0129,0.013,0.0129,0.001,0.0,0.05033225806451613,0.0007107713953258517,0.0484,0.0527,0.0504,0.002870967741935484,1.6129032258064535e-06,0.037430107526881716,0.037430107526881716,0.0375,1.6129032258064535e-06
train_alpha_h200.pbs.o168218529,6,94,0.055677419354838706,0.0009565989297054236,0.0541,0.06,0.0562,0.06,1,0.01852258064516129,-8.030199039121488e-06,0.0103,0.0,0.0103,0.0103,0.0103,0.0009,0.0,0.06084623655913978,0.001355320788102739,0.0593,0.0683,0.0613,0.0028096774193548386,-1.6734803497359074e-05,0.050546236559139784,0.050546236559139784,0.051000000000000004,-1.673480349735905e-05
train_alpha_h200.pbs.o168218529,7,94,0.07243225806451613,0.002986390682704926,0.0695,0.0872,0.0731,0.0872,1,0.023132258064516128,-4.349168929605205e-05,0.0083,0.0,0.0083,0.0083,0.0083,0.0008,0.0,0.07249677419354839,0.0029314920276458595,0.0701,0.0887,0.0725,0.0029526881720430107,-4.584614007340873e-05,0.06419677419354838,0.06419677419354838,0.0642,-4.584614007340873e-05
train_alpha_h200.pbs.o168218529,8,94,0.0775483870967742,0.0024710631947648934,0.0739,0.0921,0.08,0.0921,1,0.026376344086021505,2.183760556235268e-05,0.006899999999999999,0.0,0.0069,0.0069,0.0069,0.0007000000000000001,0.0,0.0729010752688172,0.0023475677013909905,0.0703,0.0884,0.0738,0.0030612903225806453,-8.61060547282983e-06,0.0660010752688172,0.0660010752688172,0.0669,-8.61060547282983e-06
train_alpha_h200.pbs.o168218529,9,94,0.05119139784946236,0.0016405910234521997,0.0481,0.0551,0.0539,0.0551,1,0.02365268817204301,2.7907254334397668e-05,0.0059,0.0,0.0059,0.0059,0.0059,0.0006623655913978494,0.0,0.051623655913978495,0.001189777050540103,0.0494,0.057,0.0534,0.003456989247311828,1.0888961833427835e-05,0.04572365591397849,0.04572365591397849,0.0475,1.0888961833427835e-05
train_alpha_h200.pbs.o168218529,10,94,0.039961290322580646,0.0012134578919343452,0.0366,0.0427,0.0415,0.0427,1,0.006810752688172043,3.1807466205126664e-05,0.0855,0.0,0.0855,0.0855,0.0855,0.0035301075268817203,0.0,0.04825268817204301,0.0012008591367034627,0.0464,0.0547,0.0494,0.003526881720430108,8.964220703649545e-06,-0.03724731182795699,0.03724731182795699,-0.03610000000000001,8.964220703649545e-06
