group_key,epoch,reward_mean,macro_bucket_acc,weighted_bucket_acc,alignment_l1,min_alpha_bucket_acc,strict_min_alpha_bucket_acc,target_in_topk_rate,alpha_gap_mean,top_true_bucket,top_pred_bucket,top_acc_bucket
UNKNOWN,1,-11.980023384094238,0.08807234330610796,0.17615002424431636,1.0803565690293908,0.2023831307888031,0.17614632844924927,0.9161661863327026,1.139927864074707,0,0,0
UNKNOWN,2,-11.995035171508789,0.08807849274440245,0.18887343052464012,1.0579558331519365,0.21975389122962952,0.18886539340019226,0.9161666035652161,1.1364848613739014,0,0,0
UNKNOWN,3,-11.979813575744629,0.08848247372291305,0.19022323382406703,1.0587261756882071,0.22140321135520935,0.19021840393543243,0.9161679744720459,1.140187382698059,0,0,0
UNKNOWN,4,-11.961472511291504,0.08866989307782867,0.19570132623880018,1.047205131035298,0.22713825106620789,0.19569668173789978,0.9161660075187683,1.1236528158187866,0,0,0
UNKNOWN,5,-11.931514739990234,0.08920369805260138,0.1972513234868568,1.045831227209419,0.22803698480129242,0.19724951684474945,0.9161665439605713,1.1159197092056274,0,0,0
UNKNOWN,6,-11.93220329284668,0.08926972306587479,0.19949368761659733,1.0401465655304492,0.23078922927379608,0.19949068129062653,0.9161666035652161,1.119044542312622,0,0,0
UNKNOWN,7,-11.920149803161621,0.08928079835393211,0.2018920553590691,1.0306937186978757,0.23324522376060486,0.20188966393470764,0.9161665439605713,1.1160955429077148,0,0,0
UNKNOWN,8,-11.928876876831055,0.08907198228619316,0.2053363530897717,1.0216509872116148,0.2371651828289032,0.20533128082752228,0.9161667823791504,1.11702299118042,0,0,0
UNKNOWN,9,-11.920063972473145,0.08912938833236694,0.20999050061863284,1.0094707892276347,0.24229951202869415,0.20998577773571014,0.9161669015884399,1.1049461364746094,0,0,0
UNKNOWN,10,-11.897758483886719,0.0889848606152968,0.21151339851403375,1.0027416390366852,0.24328729510307312,0.21150773763656616,0.9161668419837952,1.0916965007781982,0,0,0
UNKNOWN,11,-11.902816772460938,0.08886456523429263,0.21312443043749948,0.9976120516657829,0.24556516110897064,0.21311746537685394,0.9161673784255981,1.092556118965149,0,0,0
UNKNOWN,12,-11.900707244873047,0.08878718316555023,0.21449635285388882,0.9939697510562837,0.24714888632297516,0.21448960900306702,0.9161677360534668,1.0894818305969238,0,0,0
UNKNOWN,13,-11.883340835571289,0.08889823576266115,0.21465371300032482,0.9913082239218056,0.24708975851535797,0.21465229988098145,0.9161645770072937,1.0817692279815674,0,0,0
UNKNOWN,14,-11.848258018493652,0.0881434597752311,0.2171179668274758,0.9786970810964704,0.24981829524040222,0.2171153575181961,0.9161675572395325,1.057598352432251,0,0,0
UNKNOWN,15,-11.845500946044922,0.08831458064642819,0.21795312113158646,0.9752780040726066,0.2503467798233032,0.21795044839382172,0.9161664843559265,1.053551435470581,0,0,0
UNKNOWN,16,-11.827540397644043,0.08814831078052521,0.2194477597185078,0.9696702868677676,0.2520291209220886,0.2194424271583557,0.9161676168441772,1.042539119720459,0,0,0
UNKNOWN,17,-11.804723739624023,0.0878275754776868,0.22146499398552635,0.9630527822300792,0.25413209199905396,0.22146320343017578,0.9161671996116638,1.0249371528625488,0,0,0
UNKNOWN,18,-11.80184268951416,0.08782638711008159,0.22251112363999614,0.959478453733027,0.2555171847343445,0.22250382602214813,0.9161651730537415,1.0224323272705078,0,0,0
UNKNOWN,19,-11.799141883850098,0.08742884140123021,0.2234510432294645,0.9563832250423729,0.25699689984321594,0.22344578802585602,0.9161669015884399,1.016601800918579,0,0,0
UNKNOWN,20,-11.80516529083252,0.08785992183468559,0.22294716043337875,0.9597123647108674,0.2561448812484741,0.22294212877750397,0.9161661863327026,1.0188485383987427,0,0,0
UNKNOWN,21,-11.794001579284668,0.0876429792154919,0.22420147059255838,0.9547410220839083,0.2575567066669464,0.2242007702589035,0.9161669015884399,1.00798499584198,0,0,0
UNKNOWN,22,-11.777156829833984,0.08764539455825632,0.22364750979081324,0.955875807441771,0.2570109963417053,0.22364279627799988,0.9161668419837952,1.0034644603729248,0,0,0
UNKNOWN,23,-11.786125183105469,0.08785957131873477,0.22418420053701366,0.9558988129720092,0.25786861777305603,0.22418080270290375,0.9161667823791504,1.0031160116195679,0,0,0
UNKNOWN,24,-11.758939743041992,0.08786862580613657,0.2258539214012011,0.9503878494724631,0.25949373841285706,0.22585082054138184,0.9161673784255981,0.9862871170043945,0,0,0
UNKNOWN,25,-11.735371589660645,0.08770874379710718,0.22868911811815215,0.9400431900285184,0.2624151408672333,0.22868601977825165,0.9161668419837952,0.9663220643997192,0,0,0
UNKNOWN,26,-11.722301483154297,0.08758410134098747,0.22999701791747068,0.9372697700746357,0.2640698254108429,0.22999383509159088,0.9161686301231384,0.9586330056190491,0,0,0
UNKNOWN,27,-11.72298812866211,0.08753949031233788,0.2310180657919928,0.9348912104032934,0.26538798213005066,0.23101623356342316,0.9161650538444519,0.9534682035446167,0,0,0
UNKNOWN,28,-11.704011917114258,0.08781487630172209,0.2329678089129866,0.9300685818307102,0.26722776889801025,0.23296605050563812,0.9161667823791504,0.9367862343788147,0,0,0
UNKNOWN,29,-11.691558837890625,0.08786301348697055,0.23469451877410766,0.9265725505538285,0.26874786615371704,0.2346891164779663,0.916169285774231,0.9238268136978149,0,0,0
UNKNOWN,30,-11.680950164794922,0.08800876005129381,0.23531378873651385,0.9249409209005535,0.26917222142219543,0.23531249165534973,0.9161674976348877,0.9163382053375244,0,0,0
UNKNOWN,31,-11.68382740020752,0.08775059641762213,0.23514125425198457,0.9250730480998755,0.2692665159702301,0.2351398468017578,0.9161670207977295,0.916325569152832,0,0,0
UNKNOWN,32,-11.679593086242676,0.08762331239201805,0.23534181655309003,0.9234467535279691,0.26992350816726685,0.23534291982650757,0.9161682724952698,0.9130198955535889,0,0,0
UNKNOWN,33,-11.677132606506348,0.08780414441769774,0.23582743843927156,0.9238677937537432,0.27030181884765625,0.23582740128040314,0.9161683320999146,0.9110069870948792,0,0,0
UNKNOWN,34,-11.675121307373047,0.08784384856169875,0.23552270373433923,0.9229437545873225,0.26984888315200806,0.23551702499389648,0.9161660075187683,0.9091914296150208,0,0,0
UNKNOWN,35,-11.67133903503418,0.08780457214875655,0.23429812598778413,0.9277399652637541,0.26833051443099976,0.23429414629936218,0.9161667227745056,0.9088590145111084,0,0,0
UNKNOWN,36,-11.671417236328125,0.0876677269962701,0.2357557237197888,0.9243406485766172,0.2704065144062042,0.2357528656721115,0.9161673188209534,0.9019290804862976,0,0,0
UNKNOWN,37,-11.666118621826172,0.0877214561809193,0.2356542352991429,0.9237355110235512,0.270032674074173,0.2356531322002411,0.9161666631698608,0.8980078101158142,0,0,0
